Epoch: [0][0/2276], lr: 0.10000	Time 25.749 (25.749)	Data 19.800 (19.800)	Loss 4.0973 (4.0973)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Epoch: [0][20/2276], lr: 0.10000	Time 1.165 (1.520)	Data 0.903 (0.986)	Loss 4.5588 (4.8131)	Prec@1 0.000 (1.905)	Prec@5 5.000 (10.238)
Epoch: [0][40/2276], lr: 0.10000	Time 2.549 (0.967)	Data 2.297 (0.563)	Loss 4.0442 (4.5017)	Prec@1 5.000 (1.951)	Prec@5 15.000 (9.268)
Epoch: [0][60/2276], lr: 0.10000	Time 1.992 (0.769)	Data 1.752 (0.408)	Loss 4.1643 (4.3718)	Prec@1 0.000 (2.295)	Prec@5 0.000 (8.852)
Epoch: [0][80/2276], lr: 0.10000	Time 1.110 (0.656)	Data 0.850 (0.318)	Loss 4.0854 (4.3033)	Prec@1 0.000 (2.099)	Prec@5 15.000 (9.198)
Epoch: [0][100/2276], lr: 0.10000	Time 1.932 (0.592)	Data 1.664 (0.272)	Loss 4.1658 (4.2588)	Prec@1 0.000 (2.178)	Prec@5 5.000 (9.752)
Epoch: [0][120/2276], lr: 0.10000	Time 0.270 (0.539)	Data 0.000 (0.227)	Loss 4.0659 (4.2254)	Prec@1 5.000 (2.397)	Prec@5 15.000 (10.455)
Epoch: [0][140/2276], lr: 0.10000	Time 0.153 (0.495)	Data 0.001 (0.195)	Loss 4.1904 (4.2050)	Prec@1 0.000 (2.482)	Prec@5 5.000 (10.319)
Epoch: [0][160/2276], lr: 0.10000	Time 0.276 (0.462)	Data 0.000 (0.171)	Loss 4.0972 (4.1908)	Prec@1 0.000 (2.422)	Prec@5 10.000 (10.435)
Epoch: [0][180/2276], lr: 0.10000	Time 0.166 (0.439)	Data 0.000 (0.152)	Loss 4.0631 (4.1773)	Prec@1 0.000 (2.320)	Prec@5 0.000 (10.276)
Epoch: [0][200/2276], lr: 0.10000	Time 0.266 (0.414)	Data 0.000 (0.137)	Loss 4.0912 (4.1664)	Prec@1 0.000 (2.289)	Prec@5 0.000 (10.249)
Epoch: [0][220/2276], lr: 0.10000	Time 0.270 (0.401)	Data 0.000 (0.124)	Loss 4.1242 (4.1579)	Prec@1 0.000 (2.240)	Prec@5 20.000 (10.294)
Epoch: [0][240/2276], lr: 0.10000	Time 0.253 (0.386)	Data 0.000 (0.114)	Loss 4.0008 (4.1488)	Prec@1 0.000 (2.324)	Prec@5 5.000 (10.456)
Epoch: [0][260/2276], lr: 0.10000	Time 0.271 (0.377)	Data 0.000 (0.105)	Loss 4.0271 (4.1385)	Prec@1 0.000 (2.414)	Prec@5 10.000 (10.709)
Epoch: [0][280/2276], lr: 0.10000	Time 0.271 (0.370)	Data 0.000 (0.098)	Loss 4.0913 (4.1287)	Prec@1 10.000 (2.491)	Prec@5 20.000 (10.747)
Epoch: [0][300/2276], lr: 0.10000	Time 0.245 (0.363)	Data 0.000 (0.091)	Loss 3.9707 (4.1212)	Prec@1 10.000 (2.508)	Prec@5 20.000 (10.980)
Epoch: [0][320/2276], lr: 0.10000	Time 0.265 (0.357)	Data 0.000 (0.086)	Loss 3.8295 (4.1106)	Prec@1 5.000 (2.586)	Prec@5 10.000 (11.199)
Epoch: [0][340/2276], lr: 0.10000	Time 0.270 (0.352)	Data 0.000 (0.081)	Loss 4.0175 (4.0987)	Prec@1 0.000 (2.654)	Prec@5 20.000 (11.466)
Epoch: [0][360/2276], lr: 0.10000	Time 0.268 (0.347)	Data 0.000 (0.076)	Loss 3.8318 (4.0928)	Prec@1 10.000 (2.659)	Prec@5 15.000 (11.634)
Epoch: [0][380/2276], lr: 0.10000	Time 0.260 (0.343)	Data 0.000 (0.072)	Loss 4.0610 (4.0840)	Prec@1 0.000 (2.756)	Prec@5 5.000 (11.955)
Epoch: [0][400/2276], lr: 0.10000	Time 0.272 (0.340)	Data 0.000 (0.069)	Loss 3.9632 (4.0792)	Prec@1 0.000 (2.706)	Prec@5 5.000 (11.933)
Epoch: [0][420/2276], lr: 0.10000	Time 0.269 (0.336)	Data 0.000 (0.065)	Loss 3.8402 (4.0719)	Prec@1 5.000 (2.803)	Prec@5 35.000 (12.114)
Epoch: [0][440/2276], lr: 0.10000	Time 0.247 (0.333)	Data 0.000 (0.063)	Loss 3.8726 (4.0660)	Prec@1 0.000 (2.834)	Prec@5 15.000 (12.245)
Epoch: [0][460/2276], lr: 0.10000	Time 0.274 (0.331)	Data 0.000 (0.060)	Loss 3.6285 (4.0591)	Prec@1 5.000 (2.831)	Prec@5 30.000 (12.364)
Epoch: [0][480/2276], lr: 0.10000	Time 0.270 (0.328)	Data 0.000 (0.057)	Loss 3.8203 (4.0533)	Prec@1 15.000 (2.869)	Prec@5 25.000 (12.526)
Epoch: [0][500/2276], lr: 0.10000	Time 0.275 (0.326)	Data 0.000 (0.055)	Loss 3.9471 (4.0463)	Prec@1 0.000 (2.914)	Prec@5 10.000 (12.705)
Epoch: [0][520/2276], lr: 0.10000	Time 0.273 (0.324)	Data 0.000 (0.053)	Loss 3.8207 (4.0387)	Prec@1 15.000 (2.965)	Prec@5 25.000 (12.908)
Epoch: [0][540/2276], lr: 0.10000	Time 0.268 (0.322)	Data 0.000 (0.051)	Loss 3.7817 (4.0318)	Prec@1 0.000 (3.013)	Prec@5 35.000 (13.170)
Epoch: [0][560/2276], lr: 0.10000	Time 0.248 (0.320)	Data 0.000 (0.049)	Loss 3.7349 (4.0248)	Prec@1 5.000 (3.048)	Prec@5 20.000 (13.324)
