Epoch: [0][0/2276], lr: 0.00100	Time 97.413 (97.413)	Data 62.556 (62.556)	Loss 4.0957 (4.0957)	Prec@1 5.000 (5.000)	Prec@5 10.000 (10.000)
Epoch: [0][20/2276], lr: 0.00100	Time 1.651 (5.870)	Data 0.001 (2.984)	Loss 4.0353 (4.0928)	Prec@1 5.000 (2.143)	Prec@5 25.000 (10.952)
Epoch: [0][40/2276], lr: 0.00100	Time 24.242 (4.168)	Data 23.096 (2.094)	Loss 3.9867 (4.0874)	Prec@1 0.000 (2.439)	Prec@5 20.000 (12.195)
Epoch: [0][60/2276], lr: 0.00100	Time 32.341 (3.702)	Data 31.059 (1.918)	Loss 3.9113 (4.0548)	Prec@1 5.000 (3.525)	Prec@5 20.000 (14.508)
Epoch: [0][80/2276], lr: 0.00100	Time 31.590 (3.489)	Data 30.118 (1.842)	Loss 3.8912 (4.0019)	Prec@1 5.000 (5.185)	Prec@5 35.000 (19.506)
Epoch: [0][100/2276], lr: 0.00100	Time 19.130 (3.296)	Data 17.845 (1.735)	Loss 3.5618 (3.9394)	Prec@1 10.000 (6.683)	Prec@5 45.000 (23.713)
Epoch: [0][120/2276], lr: 0.00100	Time 12.118 (3.173)	Data 10.975 (1.679)	Loss 3.1191 (3.8577)	Prec@1 30.000 (8.512)	Prec@5 75.000 (27.975)
Epoch: [0][140/2276], lr: 0.00100	Time 8.530 (3.117)	Data 7.400 (1.668)	Loss 3.2671 (3.7786)	Prec@1 20.000 (9.823)	Prec@5 55.000 (31.418)
Epoch: [0][160/2276], lr: 0.00100	Time 1.104 (3.072)	Data 0.001 (1.652)	Loss 2.8936 (3.6901)	Prec@1 15.000 (11.087)	Prec@5 55.000 (35.248)
Epoch: [0][180/2276], lr: 0.00100	Time 1.129 (3.055)	Data 0.001 (1.660)	Loss 2.4651 (3.6171)	Prec@1 30.000 (12.182)	Prec@5 90.000 (37.956)
Epoch: [0][200/2276], lr: 0.00100	Time 1.162 (3.051)	Data 0.001 (1.676)	Loss 2.6416 (3.5316)	Prec@1 30.000 (14.055)	Prec@5 75.000 (41.169)
Epoch: [0][220/2276], lr: 0.00100	Time 1.082 (3.074)	Data 0.003 (1.719)	Loss 2.6905 (3.4565)	Prec@1 30.000 (15.452)	Prec@5 70.000 (43.552)
Epoch: [0][240/2276], lr: 0.00100	Time 1.735 (3.053)	Data 0.011 (1.707)	Loss 2.2511 (3.3818)	Prec@1 35.000 (16.452)	Prec@5 85.000 (46.058)
Epoch: [0][260/2276], lr: 0.00100	Time 1.144 (3.036)	Data 0.017 (1.702)	Loss 2.4255 (3.3113)	Prec@1 40.000 (17.605)	Prec@5 65.000 (48.199)
Epoch: [0][280/2276], lr: 0.00100	Time 1.125 (3.023)	Data 0.001 (1.700)	Loss 2.1560 (3.2462)	Prec@1 35.000 (18.790)	Prec@5 95.000 (50.356)
Epoch: [0][300/2276], lr: 0.00100	Time 1.036 (3.009)	Data 0.001 (1.695)	Loss 2.3772 (3.1859)	Prec@1 40.000 (19.867)	Prec@5 75.000 (52.110)
Epoch: [0][320/2276], lr: 0.00100	Time 1.096 (3.009)	Data 0.001 (1.706)	Loss 2.5084 (3.1285)	Prec@1 30.000 (21.137)	Prec@5 75.000 (53.660)
Epoch: [0][340/2276], lr: 0.00100	Time 1.101 (2.998)	Data 0.001 (1.700)	Loss 2.3431 (3.0779)	Prec@1 40.000 (22.053)	Prec@5 65.000 (55.029)
